date,prediction
2025-09-10,77.34989600000004
2025-09-11,77.09261500000007
2025-09-12,77.24128600000007
2025-09-13,77.29082500000007
2025-09-14,77.25696400000005
2025-09-15,77.26711600000004
2025-09-16,77.18235400000005
2025-09-17,77.16116800000005
2025-09-18,77.22186300000008
2025-09-19,77.2582400000001
2025-09-20,77.1764350000001
2025-09-21,77.1689940000001
2025-09-22,77.18819100000009
2025-09-23,77.10838500000008
2025-09-24,77.11367800000008
2025-09-25,77.15421200000009
2025-09-26,77.1582110000001
2025-09-27,77.16856000000008
2025-09-28,77.18079400000009
2025-09-29,77.18042300000009
2025-09-30,77.07643400000008
2025-10-01,77.09370200000008
2025-10-02,77.15442800000008
2025-10-03,77.1586660000001
2025-10-04,77.18527600000009
2025-10-05,77.18918000000009
2025-10-06,77.17254800000009
2025-10-07,77.09965100000008
2025-10-08,77.10805100000007
2025-10-09,77.14556000000009
