iter	RMSE
227	0.4507269824
228	0.4505417924
229	0.4499011395
230	0.4489382477
231	0.4479998122
232	0.4474219296
233	0.447241775
234	0.4463887793
235	0.4453244784
236	0.444393409
237	0.4435792359
238	0.4433900528
239	0.4432419508
240	0.4430758063
241	0.4424598429
242	0.4422990747
243	0.4421437409
244	0.4411418528
245	0.4405671615
246	0.4398708652
247	0.439737645
248	0.438802159
249	0.4386723217
250	0.4378047473
251	0.4375663655
252	0.4373652978
253	0.4364050257
254	0.4355817026
255	0.4353934441
256	0.4345887501
257	0.4338636466
258	0.433200966
259	0.4329808851
260	0.432436484
261	0.4311580934
262	0.4306575325
263	0.4300883207
264	0.4293520274
265	0.4288542523
266	0.4286742027
267	0.4282929041
268	0.4277907539
269	0.4272877514
270	0.4266950135
271	0.425856742
272	0.4254870516
273	0.4229251078
274	0.4227992407
275	0.4220345707
276	0.4214250639
277	0.4208433789
278	0.4202436267
279	0.4196902261
280	0.4171565916
281	0.4169702696
282	0.4162645867
283	0.4155889812
284	0.4152343041
285	0.4142782346
286	0.413806062
287	0.4131718411
288	0.4126140423
289	0.4121340313
290	0.4109274082
291	0.4102713727
292	0.409938963
293	0.4095788424
294	0.4088330642
295	0.4077367481
296	0.4074162827
297	0.4067727998
298	0.4060528524
299	0.4053921114
300	0.4047257611
301	0.404312376
302	0.4039049849
303	0.4033875073
304	0.4027589811
305	0.4023302581
306	0.4019155426
307	0.4012559699
308	0.3991469531
309	0.3990320402
310	0.3983913827
311	0.3980505033
312	0.3975020021
313	0.3970326424
314	0.396483466
315	0.3951874604
316	0.39435455
317	0.3939741504
318	0.3933490991
319	0.3929616013
320	0.392538458
321	0.3920662049
322	0.3919394884
323	0.3918229283
324	0.3917105423
325	0.3914366878
326	0.3913193215
327	0.3908568932
328	0.3901985897
329	0.3895666866
330	0.3889354689
331	0.3881855352
332	0.3876197193
333	0.3872277493
334	0.386764925
335	0.3859631002
336	0.3848116703
337	0.3844109321
338	0.3828212335
339	0.3823012369
340	0.3818354141
341	0.3814251505
342	0.3810618385
343	0.3805975585
344	0.3800481524
345	0.3795810266
346	0.3782422122
347	0.3776371399
348	0.3772999677
349	0.3767966571
350	0.3764638057
351	0.3763555447
352	0.3759417015
353	0.3754955032
354	0.3751507155
355	0.37365715
356	0.3731291586
357	0.3725701854
358	0.3721111366
359	0.3716951235
360	0.3715954456
361	0.3712659654
362	0.370909207
363	0.3703532918
364	0.3700827273
365	0.3699835531
366	0.3693556399
367	0.3688122361
368	0.3687280999
369	0.3686776606
370	0.3684107005
371	0.3680626962
372	0.3680137913
373	0.3677275483
374	0.3673757909
375	0.3668460345
376	0.3660428408
377	0.3657464993
378	0.3653274821
379	0.3639999124
380	0.3639191359
381	0.3636735773
382	0.3631425199
383	0.363096005
384	0.3627550948
385	0.362665242
386	0.3621334261
387	0.3617194041
388	0.361265346
389	0.3609123319
390	0.3608278025
391	0.3607461669
392	0.3603679885
393	0.3602854609
394	0.3598195718
395	0.3597312626
396	0.3593585467
397	0.3590971241
398	0.358593658
399	0.3583718848
400	0.3580650562
401	0.3579849225
402	0.3573020142
403	0.3572582287
404	0.3569606905
405	0.3568724133
406	0.3564227243
407	0.3560370458
408	0.3559611822
409	0.3556335977
410	0.3552851932
411	0.3549281845
412	0.354575424
413	0.3542603253
414	0.3539778687
415	0.3536439281
416	0.353602394
417	0.3531405749
418	0.3528223686
419	0.3524286116
420	0.3520991435
421	0.3515662445
422	0.3511443996
423	0.3506211741
424	0.3502528264
425	0.3498537138
426	0.3498136828
427	0.3495567934
428	0.3490191534
429	0.3487505577
430	0.3485318275
431	0.3484927571
432	0.3480296629
433	0.3479497066
434	0.3478604402
435	0.3477934821
436	0.3473476005
437	0.3469834675
438	0.3466453085
439	0.3465711643
440	0.3462159936
441	0.3458125821
442	0.3453648463
443	0.3450469205
444	0.3449642167
445	0.3446971999
446	0.3441606303
447	0.3440806678
448	0.3437694269
449	0.3437088695
450	0.3436420317
451	0.343307978
452	0.3429632655
453	0.3428984652
454	0.3425621375
455	0.342168087
456	0.3412864004
457	0.3403610771
458	0.3400391078
459	0.3397933662
460	0.339329782
461	0.3389980588
462	0.3387539606
463	0.3380096105
464	0.3375623676
465	0.3368775717
466	0.3366357701
467	0.336331092
468	0.335968038
469	0.3357053129
470	0.3352575983
471	0.3347017219
472	0.3341932029
473	0.3337686335
474	0.3335923921
475	0.3332107044
476	0.3329580364
477	0.3322417088
478	0.3321668307
479	0.3319808575
480	0.331647015
481	0.3313367764
482	0.3309144504
483	0.330746811
484	0.3304931744
485	0.3300743635
486	0.3297642034
487	0.3297083016
488	0.3295070124
489	0.329269068
490	0.3289259798
491	0.3285957966
492	0.3283801794
493	0.3278907778
494	0.3276827952
495	0.3274938006
496	0.3271186536
497	0.3270566584
498	0.3268305244
499	0.3264668325
500	0.3262274222
501	0.3260045505
502	0.325737425
503	0.3256761997
504	0.3248480732
505	0.3243598569
506	0.3241491704
507	0.3239042074
508	0.3237117968
509	0.3233569306
510	0.322863932
511	0.3226075825
512	0.322324655
513	0.3217946442
514	0.321533978
515	0.3212195997
516	0.3208189586
517	0.319944915
518	0.3198662797
519	0.3191776071
520	0.3190021543
521	0.3189346464
522	0.3186892566
523	0.318535186
524	0.3184857268
525	0.3182292573
526	0.3181951516
527	0.3180298616
528	0.3178351692
529	0.3175467597
530	0.3171220239
531	0.3168615101
532	0.3165762028
533	0.3162906055
534	0.3159134213
535	0.3156649616
536	0.3156010757
537	0.3153584322
538	0.3151729569
539	0.3146111031
540	0.3143577567
541	0.3143117112
542	0.3140958566
543	0.3139852234
544	0.3136547747
545	0.3135802424
546	0.3134047716
547	0.3131957244
548	0.3128690391
549	0.3126901624
550	0.3121505062
551	0.3116250263
552	0.3113687449
553	0.31107325
554	0.3108238264
555	0.3104115087
556	0.3101257895
557	0.3097652738
558	0.3095678294
559	0.3089541083
560	0.3086466458
561	0.3084036093
562	0.3081403649
563	0.3078546148
564	0.3076617825
565	0.3075815441
566	0.3073429682
567	0.3070567657
568	0.3067597909
569	0.3064023844
570	0.3061463529
571	0.3060210285
572	0.3058300902
573	0.3057785356
574	0.3057450981
575	0.3056583083
576	0.3056260792
577	0.3055123529
578	0.3053179809
579	0.3050449172
580	0.3047989633
581	0.3047506506
582	0.3045924747
583	0.3045441865
584	0.3043088783
585	0.304254053
586	0.3042095116
587	0.3037906558
588	0.3035981593
589	0.3033848789
590	0.3032047257
591	0.3028394429
592	0.3023639685
593	0.3022110358
594	0.3020510279
595	0.3012008103
596	0.3010362684
597	0.3007491838
598	0.300710778
599	0.3004965312
600	0.3002967568
601	0.2999253537
602	0.2995814753
603	0.2992294615
604	0.2991207618
605	0.2989305182
606	0.2987358481
607	0.2984147983
608	0.2981152252
609	0.2978928963
610	0.2971969564
611	0.2969247412
612	0.2967702738
613	0.2965705849
614	0.2958564333
615	0.2956641538
616	0.2956269445
617	0.2953115177
618	0.2950095414
619	0.2948518511
620	0.294515491
621	0.2942880963
622	0.2942478609
623	0.294032658
624	0.2937309844
625	0.2934843995
626	0.2931498184
627	0.2928681123
628	0.2926793777
629	0.2924192231
630	0.292062242
631	0.2918810578
632	0.2916191373
633	0.2914737039
634	0.2911976498
635	0.2910444497
636	0.2907666695
637	0.2906603928
638	0.2904769003
639	0.290321893
640	0.2901191998
641	0.2897389351
642	0.2891771252
643	0.2889038848
644	0.2887772504
645	0.2885979873
646	0.2882415247
647	0.2880580897
648	0.2879152271
649	0.2877042091
650	0.2876675967
651	0.2875735077
652	0.2874659808
653	0.2872291275
654	0.2871891155
655	0.2868571882
656	0.2866756241
657	0.2865116375
658	0.2863721112
659	0.2861746385
660	0.2860105099
661	0.2857477746
662	0.28551114
663	0.2853839045
664	0.2851546426
665	0.2850144056
666	0.2847735283
667	0.2847351271
668	0.2847039697
669	0.2844902198
670	0.2843783009
671	0.2843433781
672	0.2841721021
673	0.2840904237
674	0.2837419151
675	0.2834314057
676	0.2832528223
677	0.2831744961
678	0.2828904789
679	0.282707035
680	0.2825625112
681	0.2823526712
682	0.2821839993
683	0.2819138036
684	0.2817112696
685	0.2815935866
686	0.281409803
687	0.2810031837
688	0.2808615392
689	0.280523123
690	0.2804891305
691	0.2803064241
692	0.2800044977
693	0.2798291991
694	0.279633825
695	0.2795350791
696	0.2792619267
697	0.2792378082
698	0.2792032358
699	0.2786996375
700	0.2784302954
701	0.2783096
702	0.2780956921
703	0.2779700445
704	0.2774937809
705	0.2773313112
706	0.2771317655
707	0.2770996712
708	0.2768885526
709	0.2768595675
710	0.2767055191
711	0.2764116191
712	0.2762173555
713	0.2756162149
714	0.2755880852
715	0.2754092082
716	0.2751509813
717	0.2749226585
718	0.2748953464
719	0.274725504
720	0.2744368782
721	0.2744112539
722	0.2743571015
723	0.2739807368
724	0.2736563264
725	0.2734349008
726	0.2733571445
727	0.2731869674
728	0.2730146853
729	0.2728721795
730	0.2727635152
731	0.2726232426
732	0.2723669699
733	0.2723110191
734	0.271836503
735	0.2714979936
736	0.2713550532
737	0.2711343522
738	0.2709276693
739	0.2707940657
740	0.2706385455
741	0.270431434
742	0.2704060543
743	0.2702101727
744	0.2698197104
745	0.2696315771
746	0.269501284
747	0.269366502
748	0.2692995587
749	0.2690383282
750	0.2686377589
751	0.2685801902
752	0.2684090089
753	0.2682176262
754	0.2679529075
755	0.2676887979
756	0.267436509
757	0.2673208476
758	0.2669815387
759	0.2669451564
760	0.2668987688
761	0.2667968386
762	0.2666881769
763	0.2666488191
764	0.2665130061
765	0.2663523209
766	0.2663224781
767	0.2662934496
768	0.2661289121
769	0.2659494326
770	0.2655787551
771	0.2654048212
772	0.2653426015
773	0.2652478233
774	0.2651979081
775	0.265169581
776	0.2649939834
777	0.2648322113
778	0.264690588
779	0.2645702104
780	0.2643123718
781	0.2641854166
782	0.2640598596
783	0.2637038884
784	0.2635524191
785	0.2634219265
786	0.2631671296
787	0.2629669452
788	0.2627681959
789	0.2626079786
790	0.2624056594
791	0.2622327059
792	0.2620765134
793	0.2618766799
794	0.2617179542
795	0.261416343
796	0.2611934469
797	0.2610253241
798	0.2609188932
799	0.2606595976
800	0.2605504107
801	0.2603700929
802	0.2601898057
803	0.2599198815
804	0.2598006964
805	0.2596064469
806	0.2594651408
807	0.2594369943
808	0.2592453838
809	0.2591680203
810	0.2590170669
811	0.2589039695
812	0.2587836811
813	0.2585831424
814	0.2584388716
815	0.2582448769
816	0.2581014067
817	0.2580033476
818	0.2579046603
819	0.2578004125
820	0.2576031811
821	0.2574433832
822	0.2573928436
823	0.2572644298
824	0.2570857554
825	0.2569366596
826	0.2568228638
827	0.2566339815
828	0.256283256
829	0.2560873378
830	0.2559830567
831	0.2557557944
832	0.2552381218
833	0.2551567562
834	0.2549690237
835	0.2549457063
836	0.2547196457
837	0.2546035119
838	0.2543915309
839	0.2539540223
840	0.2539358783
841	0.2537978456
842	0.2536422485
843	0.2535309781
844	0.2531933735
845	0.2530989054
846	0.252868989
847	0.2527307195
848	0.2526086977
849	0.2523546171
850	0.2522692593
851	0.2522179387
852	0.2520295712
853	0.2519290223
854	0.2514766392
855	0.2512818878
856	0.2511477959
857	0.2509953021
858	0.2508403132
859	0.2505169616
860	0.2504087211
861	0.2502914631
862	0.250134515
863	0.2500408588
864	0.2499011151
865	0.2496212453
866	0.2494888591
867	0.2494085826
868	0.2492445032
869	0.2490969992
870	0.2489935495
871	0.2488231623
872	0.2487060165
873	0.2485542129
874	0.2484211773
875	0.2483315757
876	0.2482153963
877	0.2479508676
878	0.2478578949
879	0.2477577169
880	0.247565588
881	0.2474238841
882	0.2472865831
883	0.2468452564
884	0.2467094506
885	0.2464799486
886	0.2463879406
887	0.2462410571
888	0.2459297532
889	0.2457095376
890	0.2455093076
891	0.2453365237
892	0.2451752506
893	0.2451201898
894	0.2449844976
895	0.2447989734
896	0.2446132647
897	0.2444361871
898	0.2442945281
899	0.2441517576
900	0.2439117796
901	0.243815933
902	0.2436550882
903	0.2435372205
904	0.2434305451
905	0.2431747151
906	0.2430245748
907	0.2429268166
908	0.2428068337
909	0.2426434997
910	0.2425344851
911	0.2421596591
912	0.242030196
913	0.2419428468
914	0.2418447407
915	0.241664738
916	0.2415791716
917	0.2414378736
918	0.2413719616
919	0.2411987369
920	0.240840501
921	0.2407574807
922	0.2405003579
923	0.2403490583
924	0.2401728009
925	0.2399794284
926	0.2398603262
927	0.2397495276
928	0.2393234673
929	0.2391692288
930	0.2390862928
931	0.2389646277
932	0.2388801608
933	0.2387082609
934	0.2385448892
935	0.2383428071
936	0.2380256623
937	0.2379381343
938	0.2378110624
939	0.2376822411
940	0.2376482251
941	0.2375377655
942	0.2373013718
943	0.2371835114
944	0.2371534134
945	0.2368825446
946	0.236787008
947	0.2367547134
948	0.2366540533
949	0.2365952738
950	0.236570028
951	0.2364828837
952	0.2363177099
953	0.2358622153
954	0.2357238914
955	0.2355641922
956	0.2354894496
957	0.2353271524
958	0.2352554153
959	0.2349792604
960	0.2348426691
961	0.2347195757
962	0.2345710932
963	0.234544482
964	0.2343615181
965	0.2343285266
966	0.2342428588
967	0.2341176451
968	0.2337832131
969	0.2336959159
970	0.2335730297
971	0.2334570984
972	0.2333050245
973	0.2331776351
974	0.2330345306
975	0.2327780028
976	0.2327497583
977	0.2326726014
978	0.2325974324
979	0.2325548179
980	0.2325088785
981	0.2324025914
982	0.2322796284
983	0.2322543085
984	0.2321380938
985	0.2318756998
986	0.2317656907
987	0.2314678367
988	0.23140481
989	0.2313779729
990	0.2312883979
991	0.2311581718
992	0.2310547323
993	0.2309015988
994	0.2308345278
995	0.2307343019
996	0.2306655631
997	0.230547365
998	0.2304057178
999	0.2303792806
